Id Employee,Age,Attrition,Daily Rate,Distance From Home,Education,Employee Number,Environment Satisfaction,Gender,Hourly Rate,Job Involvement,Job Level,Job Role,Job Satisfaction,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Stock Option Level,Training Times Last Year,Work Life Balance,Years At Company,Years Since Last Promotion,Years With Currmanager,Date Birth,Remote Work,Business Travel,Education Field,Marital Status,Over Time,Monthly Income,Total Working Years
0,51.0,No,684.0,6.0,3,"162,0",1,Male,51.0,3,5,Research director,3,6462,7,13,"3,0",3,0,5,"3,0",20,15,15,1972,Yes,Unknown,Unknown,Unknown,No,19537.0,11.0
1,52.0,No,699.0,1.0,4,"259,0",3,Male,65.0,2,5,Manager,3,5678,0,14,"3,0",1,1,5,"3,0",33,11,9,1971,Yes,Unknown,Life sciences,Unknown,Unknown,19999.0,34.0
2,42.0,No,532.0,4.0,2,"319,0",3,Male,58.0,3,5,Manager,4,4933,1,11,"3,0",4,0,3,"3,0",22,11,15,1981,Yes,Travel Rarely,Technical degree,Married,No,19232.0,22.0
3,47.0,No,359.0,2.0,4,Unknown,1,Female,82.0,3,4,Research director,3,26703,3,19,"3,0",2,2,2,"3,0",20,5,6,1976,No,Travel Rarely,Medical,Married,Unknown,17169.0,11.0
4,46.0,No,1319.0,3.0,3,Unknown,1,Female,45.0,4,4,Sales executive,1,7739,2,12,"3,0",4,1,5,"3,0",19,2,8,1977,No,Unknown,Technical degree,Divorced,No,6477.69,11.0
5,48.0,No,117.0,22.0,3,"1900,0",4,Female,58.0,3,4,Manager,4,2437,3,11,"3,0",2,1,3,"3,0",22,4,7,1975,Yes,Unknown,Medical,Unknown,No,17174.0,11.0
6,59.0,No,1435.0,25.0,3,"81,0",1,Female,99.0,3,3,Sales executive,1,2354,7,11,"3,0",4,0,3,"2,0",21,7,9,1964,Yes,Unknown,Life sciences,Unknown,Unknown,6477.69,28.0
7,42.0,No,635.0,1.0,1,"387,0",2,Male,99.0,3,2,Sales executive,3,24532,1,25,"4,0",3,0,3,"3,0",20,11,6,1981,No,Travel Rarely,Unknown,Married,No,6477.69,20.0
8,41.0,No,1276.0,2.0,5,Unknown,2,Female,91.0,3,4,Manager,1,5626,7,16,"3,0",2,1,2,"3,0",18,11,8,1982,Yes,Unknown,Unknown,Married,No,16595.0,22.0
9,41.0,No,840.0,9.0,3,"999,0",1,Male,64.0,3,5,Research director,3,3735,2,17,"3,0",2,1,2,"4,0",18,0,11,1982,No,Travel Frequently,Unknown,Unknown,No,6477.69,21.0
10,41.0,No,247.0,7.0,1,"1035,0",2,Female,55.0,1,5,Research director,3,20284,1,22,"4,0",2,2,3,"3,0",21,5,10,1982,No,Non Travel,Unknown,Unknown,No,19973.0,11.0
11,56.0,No,1369.0,23.0,3,Unknown,4,Male,68.0,3,4,Manufacturing director,2,18235,4,12,"3,0",1,1,0,"3,0",19,15,9,1967,No,Travel Rarely,Life sciences,Married,Yes,13402.0,33.0
12,38.0,No,201.0,10.0,3,Unknown,2,Female,99.0,1,3,Research director,3,3376,3,12,"3,0",1,1,3,"3,0",18,1,11,1985,Yes,Unknown,Medical,Married,No,13206.0,11.0
13,41.0,Yes,1360.0,12.0,3,"58,0",2,Female,49.0,3,5,Research director,3,16280,1,12,"3,0",4,0,0,"3,0",22,15,8,1982,No,Travel Rarely,Unknown,Married,No,19545.0,11.0
14,55.0,No,692.0,14.0,4,Unknown,3,Male,61.0,4,5,Research director,2,13339,8,11,"3,0",4,0,3,"3,0",24,2,15,1968,Yes,Unknown,Medical,Single,No,6477.69,11.0
15,40.0,No,1398.0,2.0,4,"558,0",3,Female,79.0,3,5,Manager,3,13022,0,14,"3,0",4,0,2,"3,0",20,1,12,1983,No,Travel Rarely,Unknown,Unknown,No,18041.0,11.0
16,58.0,Yes,286.0,2.0,4,"825,0",4,Male,31.0,3,5,Research director,2,25761,7,12,"3,0",4,0,2,"3,0",31,13,8,1965,No,Travel Rarely,Unknown,Single,Yes,19246.0,40.0
17,46.0,No,1402.0,2.0,3,Unknown,3,Female,69.0,3,4,Manager,1,24097,8,23,"4,0",1,0,2,"3,0",26,15,9,1977,No,Travel Rarely,Unknown,Unknown,Unknown,6477.69,28.0
18,35.0,No,819.0,7.0,5,Unknown,2,Male,48.0,4,2,Research scientist,1,26312,1,11,"3,0",4,0,2,"3,0",16,1,10,1988,No,Unknown,Life sciences,Married,Unknown,6477.69,11.0
19,40.0,No,884.0,15.0,3,Unknown,1,Female,80.0,2,3,Manufacturing director,3,25800,1,13,"3,0",4,2,2,"3,0",18,14,12,1983,Yes,Travel Rarely,Life sciences,Unknown,Unknown,6477.69,18.0
20,45.0,No,1238.0,1.0,1,"1712,0",3,Male,74.0,2,3,Healthcare representative,3,3395,3,23,"4,0",4,1,3,"2,0",23,14,4,1978,No,Non Travel,Unknown,Unknown,Unknown,10748.0,25.0
21,33.0,No,515.0,1.0,2,"73,0",1,Female,98.0,3,3,Research director,4,15146,1,12,"3,0",3,0,1,"3,0",15,8,12,1990,Yes,Unknown,Life sciences,Single,Yes,6477.69,15.0
22,36.0,No,1223.0,8.0,3,Unknown,3,Female,59.0,3,3,Healthcare representative,3,8202,1,13,"3,0",2,3,2,"3,0",17,12,8,1987,Yes,Unknown,Unknown,Divorced,Unknown,6477.69,17.0
23,47.0,No,202.0,2.0,2,"820,0",3,Female,33.0,3,4,Manager,4,12982,1,11,"3,0",3,1,3,"2,0",26,3,0,1976,No,Unknown,Other,Married,Unknown,16752.0,11.0
24,36.0,No,928.0,7.0,2,Unknown,42,Male,56.0,3,2,Sales executive,4,2823,1,14,"3,0",4,1,1,"3,0",18,4,11,1987,Yes,Travel Rarely,Life sciences,Unknown,Unknown,6201.0,18.0
25,35.0,No,607.0,9.0,3,Unknown,4,Female,66.0,2,3,Manufacturing director,3,23457,1,20,"4,0",2,1,2,"3,0",17,5,15,1988,No,Unknown,Life sciences,Married,Yes,6477.69,17.0
26,52.0,Yes,266.0,2.0,1,Unknown,1,Female,57.0,1,5,Manager,4,25846,1,15,"3,0",4,1,3,"3,0",32,6,9,1971,Yes,Unknown,Unknown,Married,No,19845.0,33.0
27,36.0,No,429.0,2.0,4,"1294,0",3,Female,53.0,3,2,Manufacturing director,2,2323,9,11,"3,0",4,0,2,"3,0",16,5,12,1987,No,Unknown,Life sciences,Single,Yes,6477.69,18.0
28,33.0,No,589.0,28.0,4,Unknown,2,Male,79.0,3,2,Laboratory technician,3,22949,1,12,"3,0",2,1,3,"3,0",15,5,7,1990,Yes,Travel Rarely,Life sciences,Married,Unknown,6477.69,15.0
29,34.0,No,798.0,10.0,3,"1774,0",4,Male,87.0,3,2,Sales executive,3,12313,1,14,"3,0",3,1,3,"3,0",15,0,7,1989,Yes,Non Travel,Life sciences,Unknown,Yes,4001.0,15.0
30,41.0,No,798.0,7.0,1,"1815,0",37,Female,81.0,3,3,Sales executive,3,26458,0,13,"3,0",4,1,3,"4,0",22,13,5,1982,Yes,Unknown,Unknown,Divorced,Unknown,10447.0,11.0
31,47.0,No,1180.0,25.0,3,"1993,0",1,Male,84.0,3,3,Healthcare representative,3,13084,2,23,"4,0",2,0,3,"3,0",17,12,11,1976,Yes,Unknown,Medical,Unknown,Unknown,6477.69,25.0
32,53.0,No,1282.0,5.0,3,"32,0",3,Female,58.0,3,5,Manager,3,10735,4,11,"3,0",4,1,3,"2,0",14,4,8,1970,Yes,Travel Rarely,Unknown,Unknown,Unknown,6477.69,26.0
33,35.0,No,776.0,1.0,4,"100,0",3,Male,32.0,2,2,Sales executive,1,23016,0,14,"3,0",2,0,2,"3,0",15,2,8,1988,No,Unknown,Marketing,Single,No,6477.69,16.0
34,34.0,No,665.0,6.0,4,Unknown,1,Female,41.0,3,2,Research scientist,3,12482,1,14,"3,0",3,0,3,"3,0",16,2,10,1989,Yes,Travel Rarely,Other,Single,Unknown,6477.69,16.0
35,46.0,No,526.0,1.0,2,"244,0",2,Female,92.0,3,3,Sales executive,1,2137,1,25,"4,0",3,3,2,"3,0",24,15,7,1977,Yes,Travel Rarely,Unknown,Divorced,No,6477.69,24.0
36,43.0,No,1034.0,16.0,3,"327,0",4,Female,80.0,3,4,Manager,4,7744,5,22,"4,0",3,1,3,"3,0",17,1,9,1980,Yes,Unknown,Unknown,Married,Unknown,16064.0,22.0
